Id,Label,patent_title,link,data,assignee,abstract
,"8,591,885","Carbonic anhydrase inhibitor sustained release intraocular drug delivery
     systems",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=87&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"November 26, 2013",,
,"8,609,144","Sustained release intraocular implants and methods for preventing retinal
     dysfunction",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=86&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 17, 2013",,
,"8,609,613","Methods of inhibiting type 2 vascular endothelial growth factor receptors
     using polypeptides",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=85&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 17, 2013",,
,"8,637,068","Hypotensive prostamide-containing biodegradable intraocular implants and
     related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=84&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 28, 2014",,
,"8,637,514",Polymorphs of brimonidine pamoate,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=83&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 28, 2014",,
,"8,637,515",Polymorphs of brimonidine pamoate,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=82&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 28, 2014",,
,"8,668,676",Apparatus and methods for implanting particulate ocular implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=81&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"March 11, 2014",,
,"8,673,341",Intraocular pressure reduction with intracameral bimatoprost implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=80&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"March 18, 2014",,
,"8,685,435",Extended release biodegradable ocular implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=79&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 1, 2014",,
,"8,715,709","Sustained release intraocular implants and methods for treating ocular
     neuropathies",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=78&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 6, 2014",,
,"8,722,097","Oil-in-water method for making polymeric implants containing a hypotensive
     lipid",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=77&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 13, 2014",,
,"8,728,483",Multivalent fibronectin based scaffold domain proteins,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=76&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 20, 2014",,
,"8,771,722","Methods of treating ocular disease using steroid-containing sustained
     release intraocular implants",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=75&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"July 8, 2014",,
,"8,778,381",Ocular implant made by a double extrusion process,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=74&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"July 15, 2014",,
,"8,802,128","Steroid-containing sustained release intraocular implants and related
     methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=73&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"August 12, 2014",,
,"8,802,129",Methods for treating retinopathy with extended therapeutic effect,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=72&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"August 12, 2014",,
,"8,828,446","Method for reducing transplant rejection in the eye and intraocular
     implants for use therefor",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=71&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 9, 2014",,
,"8,834,884","Sustained release drug delivery systems comprising a water soluble
     therapeutic agent and a release modifier",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=70&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 16, 2014",,
,"8,846,073","Low temperature processes for making cyclic lipid implants for intraocular
     use",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=69&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 30, 2014",,
,"8,846,094",Peripherally administered viscous formulations,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=68&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 30, 2014",,
,"8,895,049",Extended release biodegradable ocular implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=67&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"November 25, 2014",,
,"8,900,622","Hypotensive lipid-containing biodegradable intraocular implants and
     related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=66&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 2, 2014",,
,"8,911,767","Hypotensive lipid-containing biodegradable intraocular implants and
     related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=65&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 16, 2014",,
,"8,911,768",Methods for treating retinopathy with extended therapeutic effect,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=64&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 16, 2014",,
,"8,956,655",Biodegradable drug delivery system,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=63&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"February 17, 2015",,
,"8,962,009",Sustained release intraocular implants and related methods,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=62&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"February 24, 2015",,
,"8,968,766","Sustained release intraocular implants containing tyrosine kinase
     inhibitors and related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=61&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"March 3, 2015",,
,"8,969,415",Intraocular drug delivery systems,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=60&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"March 3, 2015",,
,"8,974,812",Extended release biodegradable ocular implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=59&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"March 10, 2015",,
,"8,999,397","Oil-in-oil emulsified polymeric implants containing a hypotensive lipid
     and related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=58&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 7, 2015",,
,"9,011,852",Anti-C5a antibodies,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=57&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 21, 2015",,
,"9,012,437","Implants and methods for treating inflammation-mediated conditions of the
     eye",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=56&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 21, 2015",,
,"9,017,655",Bispecific EGFR/IGFIR binding molecules,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=55&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 28, 2015",,
,"9,039,761",Ocular implant delivery assemblies with distal caps,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=54&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 26, 2015",,
,"9,056,045",Intraocular biodegradable microspheres,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=53&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"June 16, 2015",,
,"9,079,949",Anti-C5 antibodies having improved pharmacokinetics,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=52&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"July 14, 2015",,
,"9,089,478",Peripherally administered viscous formulations,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2Fsearch-adv.htm&r=51&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"July 28, 2015",,
,"9,095,506","Biodegradable alpha-2 agonist polymeric implants and therapeutic uses
     thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=50&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"August 4, 2015",,
,"9,101,583","Microparticles manufactured in an oil-in-water process comprising a
     prostamide",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=49&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"August 11, 2015",,
,"9,107,861","Methods of treating C5 mediated complement-associated conditions with
     anti-C5 antibodies having improved pharmacokinetics",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=48&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"August 18, 2015",,
,"9,138,480",Compositions and methods for stimulating hair growth,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=47&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 22, 2015",,
,"9,144,543","Sustained release intraocular implants and methods for preventing retinal
     dysfunction",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=46&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 29, 2015",,
,"9,149,428",Processes for making cyclic lipid implants for intraocular use,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=45&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"October 6, 2015",,
,"9,161,938","Sustained release intraocular implants and methods for treating ocular
     vasculopathies",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=44&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"October 20, 2015",,
,"9,192,511",Ocular implant made by a double extrusion process,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=43&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"November 24, 2015",,
,"9,204,961","Method of implanting an intraocular device to inhibit cell migration and
     opacification of the posterior capsule of the eye",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=42&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 8, 2015",,
,"9,206,251",Nucleic acids encoding anti-C5 antibodies having improved pharmacokinetics,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=41&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 8, 2015",,
,"9,221,901","Methods of treating complement-associated disorders with anti-C5a
     antibodies",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=40&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"December 29, 2015",,
,"9,233,070",Biodegradable intravitreal tyrosine kinase implants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=39&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 12, 2016",,
,"9,233,071",Methods for treating retinopathy with extended therapeutic effect,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=38&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 12, 2016",,
,"9,234,028",Targeted therapeutics based on engineered proteins that bind EGFR,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=37&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 12, 2016",,
,"9,265,775",Pharmaceutical compositions,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=36&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"February 23, 2016",,
,"9,283,178","Methods for treating edema in the eye and intraocular implants for use
     therefor",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=35&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"March 15, 2016",,
,"9,308,070",Pliable silk medical device,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=34&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 12, 2016",,
,"9,308,355",Apparatus and methods for coating medical devices,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=33&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 12, 2016",,
,"9,309,310",Nucleic acids encoding anti-C5a antibodies,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=32&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 12, 2016",,
,"9,326,949","Method of making oil-in-oil emulsified polymeric implants containing a
     hypotensive lipid",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=31&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 3, 2016",,
,"9,328,157",Inhibitors of type 2 vascular endothelial growth factor receptors,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=30&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 3, 2016",,
,"9,371,377",Anti-C5 antibodies having improved pharmacokinetics,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=29&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"June 21, 2016",,
,"9,371,378",Anti-C5a antibodies,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=28&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"June 21, 2016",,
,"9,393,223","Hypotensive lipid-containing biodegradable intraocular implants and
     related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=27&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"July 19, 2016",,
,"9,434,784",Nucleic acids encodng anti-C5A antibodies,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=26&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 6, 2016",,
,"9,469,690","Methods of treating complement-associated disorders with anti-C5a
     antibodies",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=25&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"October 18, 2016",,
,"9,562,089",Fibronectin based scaffold proteins having improved stability,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=24&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"February 7, 2017",,
,"9,572,859",Compositions and methods for localized therapy of the eye,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=23&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"February 21, 2017",,
,"9,592,242","Methods for treating edema in the eye and intraocular implants for use
     therefor",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=22&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"March 14, 2017",,
,"9,610,246",Sustained drug delivery implant,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=21&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 4, 2017",,
,"9,623,215",Apparatus and methods for coating medical devices,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=20&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"April 18, 2017",,
,"9,637,534","Fusion proteins comprising PDGF and VEGF binding portions and methods of
     using thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=19&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 2, 2017",,
,"9,663,574",Anti-C5 antibodies having improved pharmacokinetics,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=18&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"May 30, 2017",,
,"9,669,039","Oil-in-oil emulsified polymeric implants containing a hypotensive lipid
     and related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=17&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"June 6, 2017",,
,"9,707,238","Oil-in-water method for making polymeric implants containing a hypotensive
     lipid",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=16&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"July 18, 2017",,
,"9,750,751","Hypotensive lipid-containing biodegradable intraocular implants and
     related methods",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=15&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 5, 2017",,
,"9,771,411","Method of treating cancer by administering EGFR and EGFR/IGFIR binding
     molecules",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=14&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"September 26, 2017",,
,"9,775,846","Hypotensive lipid-containing biodegradable intraocular implants and
     related implants",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=13&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"October 3, 2017",,
,"9,775,849","Implants and methods for treating inflammation-mediated conditions of the
     eye",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=12&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"October 3, 2017",,
,"9,803,007",Anti-C5 antibodies having improved pharmacokinetics,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=11&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"October 31, 2017",,
,"9,815,890",Antibodies to the C3d fragment of complement component 3,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=10&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"November 14, 2017",,
,"9,820,995","Ocular therapy using glucocorticoid derivatives selectively penetrating
     posterior segment tissues",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=9&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"November 21, 2017",,
,"9,827,401",Apparatus and methods for coating medical devices,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=8&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"November 28, 2017",,
,"9,855,135",Cell migration inhibition system,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=7&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 2, 2018",,
,"9,861,576","Biodegradable alpha-2 agonist polymeric implants and therapeutic uses
     thereof",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=6&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 9, 2018",,
,"9,862,758",Inhibitors of type 2 vascular endothelial growth factor receptors,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=5&f=G&l=50&d=PALL&S1=5501856.UREF.&OS=ref/5501856&RS=REF/5501856,"January 9, 2018",,
